two_year_recid,age,sex,priors_count,juv_fel_count,juv_misd_count,c_charge_degree,c_charge_desc,race
no,30.0,Male,1,0.0,0.0,F,Fail To Redeliv Hire/Leas Prop,African-American
yes,39.0,Female,0,0.0,0.0,F,Aggravated Assault W/Dead Weap,Caucasian
yes,24.0,Male,8,0.0,1.0,F,False Ownership Info/Pawn Item,Caucasian
no,30.0,Male,0,0.0,0.0,F,Possession Of Methamphetamine,Caucasian
no,31.0,Male,0,0.0,0.0,M,Battery,Caucasian
no,39.0,Female,1,0.0,0.0,F,Possession of Morphine,Caucasian
yes,59.0,Male,14,0.0,0.0,F,arrest case no charge,African-American
no,43.0,Male,1,0.0,0.0,F,Possession of Cocaine,Caucasian
yes,21.0,Male,3,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,38.0,Male,5,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,Caucasian
no,34.0,Male,0,0.0,0.0,F,Aggravated Assault w/Firearm,Caucasian
yes,33.0,Male,5,0.0,0.0,F,Poss Contr Subst W/o Prescript,African-American
no,37.0,Male,3,0.0,0.0,F,"Poss3,4 Methylenedioxymethcath",African-American
yes,42.0,Male,1,0.0,0.0,F,Aggrav Stalking After Injunctn,Caucasian
yes,41.0,Male,10,0.0,1.0,F,Possession of Cocaine,African-American
yes,22.0,Male,0,0.0,0.0,F,Uttering a Forged Instrument,African-American
yes,33.0,Male,28,0.0,12.0,F,Driving While License Revoked,African-American
no,31.0,Male,1,0.0,0.0,M,Battery,African-American
no,30.0,Female,1,0.0,0.0,F,Crim Use of Personal ID Info,Other
yes,31.0,Male,13,0.0,0.0,F,arrest case no charge,Caucasian
yes,27.0,Male,3,0.0,0.0,F,Possession of Cocaine,African-American
no,56.0,Male,8,0.0,0.0,F,arrest case no charge,African-American
no,52.0,Male,3,0.0,0.0,M,Battery,Caucasian
yes,33.0,Male,19,0.0,0.0,F,arrest case no charge,African-American
no,64.0,Female,2,0.0,0.0,M,Resist/Obstruct W/O Violence,Caucasian
yes,22.0,Male,4,0.0,0.0,F,Possession Of Alprazolam,Caucasian
no,42.0,Male,6,0.0,0.0,F,Possession Of Alprazolam,Caucasian
no,25.0,Female,2,0.0,0.0,F,arrest case no charge,Caucasian
no,30.0,Male,1,0.0,0.0,M,Agg Fleeing and Eluding,Caucasian
no,28.0,Male,2,0.0,0.0,F,arrest case no charge,Caucasian
no,37.0,Female,2,0.0,0.0,M,Petit Theft,Other
yes,28.0,Male,0,0.0,0.0,M,Disorderly Intoxication,Caucasian
no,24.0,Female,0,0.0,0.0,M,Battery,African-American
yes,29.0,Female,10,0.0,1.0,F,Grand Theft in the 3rd Degree,Caucasian
yes,44.0,Male,2,0.0,0.0,M,Battery,Caucasian
yes,30.0,Female,4,0.0,0.0,F,Battery on Law Enforc Officer,Hispanic
yes,32.0,Male,3,0.0,0.0,F,Possession of Cocaine,African-American
yes,31.0,Male,2,0.0,0.0,M,Resist/Obstruct W/O Violence,Caucasian
no,31.0,Male,1,0.0,0.0,M,Lewdness Violation,African-American
yes,59.0,Male,1,0.0,0.0,F,Possession of Cocaine,Caucasian
no,45.0,Female,4,0.0,0.0,F,arrest case no charge,Caucasian
no,20.0,Female,1,1.0,0.0,F,arrest case no charge,African-American
no,43.0,Female,0,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,Caucasian
yes,38.0,Male,9,1.0,1.0,F,Possession of Cocaine,African-American
yes,32.0,Male,11,0.0,0.0,F,Poss Pyrrolidinovalerophenone,African-American
yes,33.0,Male,8,0.0,0.0,M,Assault,African-American
yes,31.0,Female,0,0.0,0.0,F,Possession of Oxycodone,African-American
yes,33.0,Female,7,0.0,0.0,F,Possession of Cocaine,African-American
yes,27.0,Male,2,0.0,0.0,F,Tampering With Physical Evidence,African-American
no,20.0,Female,0,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,26.0,Female,0,0.0,0.0,M,Fail To Obey Police Officer,Caucasian
yes,61.0,Female,1,0.0,0.0,F,Solicit Purchase Cocaine,African-American
yes,52.0,Male,13,0.0,0.0,F,Felony Petit Theft,Other
no,63.0,Male,1,0.0,0.0,F,arrest case no charge,Hispanic
yes,32.0,Female,4,0.0,0.0,F,arrest case no charge,African-American
no,29.0,Male,1,0.0,0.0,F,Grand Theft in the 3rd Degree,Hispanic
no,46.0,Female,1,0.0,0.0,F,Grand Theft in the 1st Degree,Other
yes,26.0,Female,2,0.0,0.0,M,Driving Under The Influence,African-American
no,55.0,Male,3,0.0,0.0,M,Battery,African-American
no,39.0,Male,1,1.0,0.0,M,,Caucasian
yes,30.0,Female,3,0.0,0.0,F,Possession Of Carisoprodol,Caucasian
no,30.0,Male,1,0.0,0.0,F,Burglary Conveyance Assault/Bat,African-American
no,48.0,Male,2,0.0,0.0,M,Battery,Caucasian
no,22.0,Male,1,0.0,0.0,F,arrest case no charge,African-American
yes,46.0,Male,6,0.0,0.0,F,Driving While License Revoked,Caucasian
no,49.0,Female,6,0.0,0.0,F,Crim Use of Personal ID Info,Caucasian
no,31.0,Male,0,0.0,0.0,F,"Deliver 3,4 Methylenediox",Caucasian
yes,25.0,Male,1,0.0,0.0,M,Battery,African-American
no,23.0,Male,0,0.0,0.0,F,"Poss3,4 Methylenedioxymethcath",Hispanic
no,32.0,Female,5,0.0,0.0,F,Aggravated Assault W/dead Weap,African-American
no,52.0,Male,2,0.0,0.0,M,Leave Acc/Attend Veh/More $50,Hispanic
no,62.0,Male,8,0.0,0.0,F,Possession of Cocaine,African-American
no,37.0,Female,6,0.0,0.0,F,Possession of Cocaine,Caucasian
no,55.0,Male,1,0.0,0.0,F,Grand Theft in the 3rd Degree,Caucasian
yes,31.0,Male,8,0.0,0.0,F,arrest case no charge,Hispanic
yes,28.0,Male,6,0.0,0.0,M,Resist/Obstruct W/O Violence,African-American
no,54.0,Male,2,0.0,0.0,F,Burglary Unoccupied Dwelling,Hispanic
no,58.0,Male,0,0.0,0.0,F,Possession Of Heroin,Hispanic
yes,78.0,Male,1,0.0,0.0,M,Driving Under The Influence,Caucasian
no,56.0,Male,0,0.0,0.0,F,Possession of Cocaine,Caucasian
no,24.0,Male,0,0.0,0.0,F,Burglary Unoccupied Dwelling,Other
yes,38.0,Male,22,2.0,2.0,F,Child Abuse,African-American
yes,22.0,Male,1,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,African-American
yes,47.0,Male,23,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,African-American
yes,23.0,Male,0,0.0,0.0,M,Battery,African-American
no,57.0,Male,1,0.0,0.0,F,Driving While License Revoked,Hispanic
yes,38.0,Female,2,0.0,0.0,F,Possession of Cocaine,Caucasian
no,66.0,Male,3,0.0,0.0,F,Agg Battery Grt/Bod/Harm,African-American
yes,45.0,Male,8,0.0,0.0,M,Viol Injunct Domestic Violence,Caucasian
yes,52.0,Female,0,0.0,0.0,M,,Other
yes,32.0,Male,13,0.0,0.0,F,Poss Cocaine/Intent To Del/Sel,African-American
yes,37.0,Male,2,0.0,0.0,M,Battery,African-American
yes,39.0,Male,0,0.0,0.0,F,Possession Of Methamphetamine,Caucasian
yes,26.0,Male,9,0.0,0.0,F,Deliver Cocaine,African-American
no,45.0,Male,2,0.0,0.0,F,Lewd or Lascivious Molestation,Caucasian
yes,23.0,Male,0,0.0,0.0,F,Possession of Cannabis,African-American
no,34.0,Male,2,0.0,0.0,M,Battery,African-American
no,23.0,Female,1,0.0,0.0,M,Battery,African-American
yes,36.0,Male,2,0.0,0.0,M,Battery,Other
no,50.0,Male,1,0.0,0.0,F,Sexual Performance by a Child,Caucasian
no,37.0,Female,0,0.0,0.0,M,Leaving Acc/Unattended Veh,Caucasian
no,44.0,Male,4,0.0,0.0,M,Battery,Caucasian
yes,35.0,Female,23,0.0,1.0,F,Felony Petit Theft,African-American
yes,24.0,Male,5,0.0,0.0,F,arrest case no charge,Other
yes,26.0,Male,2,0.0,0.0,F,Fleeing Or Attmp Eluding A Leo,African-American
no,27.0,Male,0,0.0,0.0,M,Criminal Mischief,African-American
no,28.0,Female,0,0.0,0.0,F,Aggrav Battery w/Deadly Weapon,African-American
yes,43.0,Male,11,0.0,0.0,F,arrest case no charge,Caucasian
yes,28.0,Female,7,0.0,0.0,F,Felony Petit Theft,Caucasian
no,38.0,Male,2,0.0,0.0,F,Driving While License Revoked,African-American
no,27.0,Male,2,0.0,0.0,M,Trespass Struct/Conveyance,Caucasian
no,28.0,Female,1,0.0,0.0,F,arrest case no charge,African-American
yes,56.0,Male,7,0.0,0.0,F,Felony Driving While Lic Suspd,Caucasian
no,38.0,Male,15,0.0,0.0,F,Possession of Cocaine,African-American
no,28.0,Male,2,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,African-American
no,45.0,Male,3,0.0,0.0,F,arrest case no charge,African-American
no,28.0,Male,0,0.0,0.0,M,DUI Property Damage/Injury,Hispanic
no,61.0,Male,1,0.0,0.0,F,arrest case no charge,Caucasian
yes,51.0,Female,0,0.0,0.0,M,Driving Under The Influence,Caucasian
no,51.0,Male,0,0.0,0.0,M,Battery,Caucasian
yes,36.0,Male,1,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,Other
no,48.0,Male,0,0.0,0.0,F,Aggravated Battery (Firearm/Actual Possession),African-American
yes,37.0,Male,4,0.0,0.0,F,arrest case no charge,Caucasian
no,30.0,Female,2,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,41.0,Female,5,0.0,0.0,M,Battery,African-American
yes,27.0,Male,11,0.0,0.0,F,Robbery / No Weapon,African-American
no,37.0,Male,0,0.0,0.0,M,Battery,African-American
yes,33.0,Male,4,0.0,0.0,F,Aggravated Assault w/Firearm,Other
no,54.0,Male,11,0.0,0.0,F,Grand Theft (Motor Vehicle),African-American
no,23.0,Male,2,0.0,0.0,F,Robbery / Weapon,African-American
yes,26.0,Female,2,0.0,0.0,F,arrest case no charge,African-American
no,41.0,Male,0,0.0,0.0,M,Battery,African-American
no,52.0,Male,0,0.0,0.0,F,Burglary With Assault/battery,Caucasian
yes,43.0,Male,13,0.0,0.0,F,Driving While License Revoked,Caucasian
no,52.0,Male,0,0.0,0.0,F,Uttering a Forged Instrument,African-American
no,28.0,Male,1,0.0,0.0,F,arrest case no charge,Caucasian
yes,30.0,Male,11,0.0,0.0,M,Battery,African-American
no,28.0,Male,1,0.0,0.0,F,Criminal Mischief,Caucasian
no,22.0,Male,0,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,African-American
no,30.0,Male,4,0.0,0.0,F,Driving While License Revoked,African-American
no,25.0,Male,4,0.0,0.0,F,Possession of Cannabis,Hispanic
yes,31.0,Male,0,0.0,0.0,F,Burglary Unoccupied Dwelling,Caucasian
yes,37.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,Caucasian
no,32.0,Male,14,0.0,1.0,F,Aggravated Battery / Pregnant,African-American
no,26.0,Male,4,0.0,1.0,M,Possess Cannabis/20 Grams Or Less,African-American
no,53.0,Male,1,0.0,0.0,M,Battery,Caucasian
yes,28.0,Male,25,0.0,0.0,F,arrest case no charge,African-American
yes,44.0,Male,8,0.0,0.0,M,Battery,Caucasian
no,25.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,22.0,Male,1,0.0,0.0,M,Voyeurism,Caucasian
no,37.0,Female,0,0.0,0.0,M,Battery,Other
no,40.0,Female,3,0.0,0.0,F,Driving While License Revoked,Other
yes,36.0,Male,8,0.0,0.0,F,Felony Driving While Lic Suspd,Caucasian
no,30.0,Male,4,0.0,0.0,F,False Imprisonment,Caucasian
yes,22.0,Male,3,0.0,0.0,M,Prowling/Loitering,African-American
yes,24.0,Female,1,0.0,0.0,M,Battery,Caucasian
yes,27.0,Male,3,0.0,0.0,M,Viol Prot Injunc Repeat Viol,African-American
no,31.0,Female,0,0.0,0.0,M,Battery,Hispanic
yes,23.0,Male,1,0.0,0.0,F,arrest case no charge,Hispanic
yes,23.0,Female,5,0.0,0.0,F,arrest case no charge,Caucasian
no,24.0,Male,0,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,Hispanic
no,29.0,Male,1,0.0,0.0,M,Battery,African-American
yes,20.0,Male,1,0.0,0.0,F,Carrying Concealed Firearm,African-American
yes,30.0,Male,2,0.0,0.0,F,Carrying Concealed Firearm,African-American
no,39.0,Male,0,0.0,0.0,F,Throw In Occupied Dwell,Other
no,27.0,Male,4,0.0,0.0,F,arrest case no charge,African-American
no,31.0,Male,2,0.0,0.0,M,arrest case no charge,Caucasian
no,37.0,Female,2,0.0,0.0,F,arrest case no charge,African-American
no,20.0,Male,0,0.0,0.0,F,Possession Burglary Tools,African-American
no,22.0,Male,0,0.0,0.0,F,"Poss3,4 Methylenedioxymethcath",Hispanic
no,52.0,Female,0,0.0,0.0,F,Burglary Conveyance Unoccup,African-American
yes,23.0,Female,0,0.0,0.0,F,Carrying Concealed Firearm,African-American
no,48.0,Female,0,0.0,0.0,F,Aggravated Assault W/Dead Weap,African-American
yes,66.0,Male,8,0.0,0.0,F,Deliver Cocaine,African-American
no,25.0,Male,0,0.0,0.0,F,"Deliver 3,4 Methylenediox",Caucasian
yes,27.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,Caucasian
yes,30.0,Male,11,0.0,0.0,F,Unauth Poss ID Card or DL,African-American
yes,22.0,Male,3,0.0,1.0,M,Battery,African-American
no,22.0,Female,1,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,Caucasian
no,35.0,Male,2,0.0,0.0,F,arrest case no charge,African-American
no,32.0,Male,2,0.0,0.0,F,arrest case no charge,Caucasian
no,41.0,Female,2,0.0,0.0,M,Battery on Law Enforc Officer,African-American
no,25.0,Female,0,0.0,0.0,F,Aggravated Assault W/Dead Weap,Other
no,44.0,Male,24,0.0,0.0,M,Opert With Susp DL 2nd Offens,African-American
yes,52.0,Male,3,0.0,0.0,F,Possession of Cocaine,African-American
no,43.0,Male,0,0.0,0.0,F,Felony Battery (Dom Strang),African-American
no,37.0,Male,3,0.0,0.0,F,arrest case no charge,Caucasian
yes,28.0,Male,3,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,African-American
no,70.0,Male,1,0.0,0.0,M,Battery,Caucasian
yes,54.0,Male,6,0.0,0.0,F,Possession of Cocaine,Caucasian
no,46.0,Male,3,0.0,0.0,F,arrest case no charge,Caucasian
yes,21.0,Male,0,0.0,0.0,M,Petit Theft,African-American
yes,26.0,Male,1,0.0,0.0,M,Battery,African-American
yes,38.0,Male,3,0.0,0.0,F,Crim Use of Personal ID Info,Hispanic
no,34.0,Male,5,0.0,0.0,M,Battery,Caucasian
yes,19.0,Male,1,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,34.0,Male,5,0.0,0.0,M,Driving License Suspended,African-American
yes,23.0,Male,0,0.0,0.0,F,Aggravated Assault W/Dead Weap,Caucasian
yes,34.0,Male,5,0.0,0.0,F,Possession of Oxycodone,African-American
no,30.0,Male,2,0.0,0.0,F,arrest case no charge,African-American
yes,39.0,Male,6,0.0,0.0,F,Aggravated Battery / Pregnant,African-American
no,24.0,Male,0,0.0,0.0,F,Failure To Return Hired Vehicle,Other
yes,33.0,Male,1,0.0,0.0,M,Driving Under The Influence,Caucasian
no,58.0,Male,2,0.0,0.0,F,Agg Fleeing/Eluding High Speed,Caucasian
no,21.0,Female,0,0.0,0.0,M,Battery,African-American
no,21.0,Male,1,0.0,0.0,F,Attempted Robbery  No Weapon,African-American
yes,23.0,Male,4,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,African-American
no,62.0,Male,0,0.0,0.0,F,False Imprisonment,Caucasian
yes,27.0,Male,4,1.0,0.0,M,Possess Cannabis/20 Grams Or Less,African-American
no,37.0,Male,5,0.0,0.0,F,Battery on Law Enforc Officer,Caucasian
yes,43.0,Male,2,0.0,0.0,F,Grand Theft in the 3rd Degree,Other
no,32.0,Female,5,0.0,0.0,F,Aggrav Battery w/Deadly Weapon,African-American
no,23.0,Male,0,0.0,0.0,F,Burglary Conveyance Unoccup,Hispanic
no,27.0,Male,0,0.0,0.0,M,Battery,African-American
yes,44.0,Male,0,0.0,0.0,M,Battery,Caucasian
yes,28.0,Male,3,0.0,0.0,M,Battery,Caucasian
no,42.0,Female,0,0.0,0.0,F,Possession of Cocaine,Caucasian
yes,24.0,Male,9,0.0,1.0,F,Resist Officer w/Violence,Other
no,27.0,Male,0,0.0,0.0,F,Aggrav Battery w/Deadly Weapon,African-American
yes,20.0,Male,0,0.0,0.0,F,Grand Theft (Motor Vehicle),African-American
no,51.0,Female,0,0.0,0.0,M,Battery on Law Enforc Officer,Caucasian
no,56.0,Male,0,0.0,0.0,M,Battery On Parking Enfor Speci,Caucasian
no,29.0,Male,7,0.0,0.0,F,arrest case no charge,African-American
yes,20.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,53.0,Male,6,0.0,0.0,F,arrest case no charge,Caucasian
no,27.0,Male,8,0.0,0.0,F,arrest case no charge,Caucasian
yes,24.0,Male,2,0.0,1.0,F,Burglary Structure Unoccup,African-American
yes,53.0,Male,36,0.0,0.0,F,Corrupt Public Servant,Caucasian
yes,28.0,Male,2,0.0,0.0,M,Battery,Caucasian
no,45.0,Male,1,0.0,0.0,F,Crim Use of Personal ID Info,African-American
no,21.0,Male,3,0.0,1.0,F,Grand Theft in the 3rd Degree,Hispanic
no,36.0,Female,0,0.0,0.0,F,Aggrav Battery w/Deadly Weapon,African-American
yes,25.0,Female,2,0.0,0.0,M,Petit Theft,Caucasian
no,23.0,Female,1,0.0,0.0,M,Operating W/O Valid License,Hispanic
no,28.0,Male,1,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,Caucasian
yes,21.0,Female,0,0.0,0.0,F,Robbery Sudd Snatch No Weapon,African-American
no,36.0,Male,0,0.0,0.0,M,Viol Injunct Domestic Violence,Caucasian
no,24.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,28.0,Male,3,0.0,0.0,F,arrest case no charge,African-American
yes,30.0,Male,1,0.0,0.0,F,arrest case no charge,Other
no,29.0,Male,0,0.0,0.0,F,Aggravated Assault W/Dead Weap,African-American
no,30.0,Female,0,0.0,0.0,M,Battery,Caucasian
no,51.0,Male,1,0.0,0.0,M,Assault,Hispanic
no,33.0,Male,3,0.0,0.0,F,Felony Battery (Dom Strang),Other
no,25.0,Female,2,0.0,0.0,F,arrest case no charge,African-American
yes,32.0,Male,12,0.0,1.0,F,arrest case no charge,African-American
no,23.0,Male,1,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,47.0,Male,3,0.0,0.0,F,Possession Burglary Tools,African-American
yes,32.0,Female,1,0.0,0.0,F,Possession of Cocaine,Hispanic
no,37.0,Male,0,0.0,0.0,F,Forging Bank Bills/Promis Note,Caucasian
yes,19.0,Male,2,0.0,2.0,F,Poss Pyrrolidinovalerophenone,African-American
no,27.0,Male,0,0.0,0.0,M,Battery,Hispanic
no,39.0,Male,0,0.0,0.0,M,Battery,Other
no,21.0,Female,0,0.0,0.0,F,Possession of Cocaine,Caucasian
no,69.0,Male,0,0.0,0.0,M,Aggravated Assault W/dead Weap,Caucasian
no,21.0,Male,2,0.0,0.0,F,arrest case no charge,Caucasian
yes,26.0,Male,6,0.0,0.0,M,Battery,African-American
no,22.0,Male,0,0.0,0.0,F,Possession of Cocaine,Caucasian
yes,23.0,Female,0,0.0,0.0,F,Driving While License Revoked,African-American
no,49.0,Male,3,0.0,0.0,F,Grand Theft (Motor Vehicle),African-American
no,29.0,Male,2,0.0,0.0,M,Battery,African-American
no,60.0,Female,0,0.0,0.0,M,Battery,Caucasian
no,26.0,Female,0,0.0,0.0,M,,African-American
yes,23.0,Male,3,2.0,0.0,F,"Poss3,4 Methylenedioxymethcath",African-American
yes,34.0,Male,2,0.0,0.0,M,arrest case no charge,Hispanic
no,20.0,Female,1,1.0,0.0,F,arrest case no charge,Other
no,36.0,Male,1,0.0,0.0,F,Felony/Driving Under Influence,Hispanic
